SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
100,1.6048257,100003.71,0.11709812,-0.091627985
100,1.6048014,79433.273,0.11574821,-0.067414254
100,1.604797,63093.824,0.11445133,-0.049101222
100,1.6047937,50122.477,0.11354565,-0.03306862
100,1.6047921,39814.059,0.1164987,-0.020995598
100,1.6047865,31621.139,0.11743746,-0.010834876
100,1.6047813,25116.91,0.12056759,-0.000979579
100,1.6047767,19948.785,0.12300065,0.007130554
100,1.6047744,15847.683,0.12581523,0.013798361
100,1.6047795,12590.93,0.12808527,0.02181693
100,1.6047721,10002.226,0.13260444,0.028467074
100,1.6047674,7943.999,0.13684636,0.035972748
100,1.6047578,6307.7339,0.14216639,0.04254403
100,1.6047539,5011.604,0.14486414,0.053253423
100,1.6047533,3981.2744,0.1531145,0.060575128
100,1.604755,3161.0117,0.15723543,0.068842694
100,1.6047359,2510.8032,0.16275109,0.079830028
100,1.6047471,1995.6388,0.16662188,0.093934029
100,1.6047344,1585.5074,0.17185712,0.11263385
100,1.6047328,1258.7913,0.17861204,0.13367906
100,1.6047401,1000.3202,0.18163735,0.16002068
100,1.6047368,794.23785,0.18773687,0.19313195
100,1.6047323,631.00964,0.19301988,0.23754524
100,1.6047359,501.44418,0.20125107,0.2891224
100,1.6047313,398.08914,0.20797351,0.35716197
100,1.6047302,316.31589,0.22031942,0.43950924
100,1.6047282,251.04433,0.23539636,0.54566908
100,1.6047254,199.55299,0.25129747,0.67441529
100,1.6047126,158.42841,0.27890092,0.83676392
100,1.6046783,125.84567,0.31443036,1.0429168
100,1.604672,100.03201,0.36917639,1.2905344
100,1.6046262,79.415512,0.44962808,1.5964146
100,1.6046246,63.082298,0.56433535,1.9713234
100,1.6045722,50.144421,0.73576897,2.417239
100,1.6045009,39.808914,0.98831642,2.944468
100,1.6042864,31.629555,1.3493861,3.5478995
100,1.6040616,25.104433,1.880208,4.1996684
100,1.6036328,19.955299,2.610106,4.8447452
100,1.6031445,15.857577,3.5708456,5.3677635
100,1.6025693,12.600809,4.712913,5.6473818
100,1.6020132,10.003201,5.9089704,5.6223569
100,1.6016092,7.9395323,7.0032434,5.2879295
100,1.6012667,6.3105812,7.89605,4.7737436
100,1.6010778,5.0080128,8.5641832,4.1734715
100,1.6009527,3.9778516,9.045434,3.5917385
100,1.600839,3.1629555,9.3503199,3.0610459
100,1.6007888,2.5136747,9.5426893,2.6164281
100,1.6008629,1.99553,9.6551285,2.2624342
100,1.6010571,1.5853286,9.6964312,1.9944983
100,1.6011018,1.2596742,9.6730146,1.7908397
100,1.6014838,1.0000639,9.6063843,1.6623962
100,1.6018646,0.79363066,9.4892473,1.5844244
100,1.6022217,0.63090527,9.2985516,1.5439429
100,1.6029954,0.50154078,9.0930462,1.5377941
100,1.603822,0.39774463,8.8802042,1.5656296
100,1.6044914,0.3161931,8.6605501,1.5940239
100,1.6050575,0.25122195,8.4181032,1.6218363
100,1.60567,0.19933917,8.1653471,1.6397592
100,1.6063359,0.15860692,7.9231367,1.660681
100,1.6068875,0.12593903,7.6573443,1.6885889
100,1.6072323,0.10007046,7.3201251,1.6998354
