SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm],,SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
100,1.6048257,100003.71,0.11709812,-0.091627985,,100,1.6042707,100003.71,0.11350565,-0.089973748
100,1.6048014,79433.273,0.11574821,-0.067414254,,100,1.6048032,79433.273,0.11110282,-0.067979008
100,1.604797,63093.824,0.11445133,-0.049101222,,100,1.6048739,63093.824,0.11568929,-0.049193062
100,1.6047937,50122.477,0.11354565,-0.03306862,,100,1.6049356,50122.477,0.11581337,-0.032913886
100,1.6047921,39814.059,0.1164987,-0.020995598,,100,1.6050032,39814.059,0.1159054,-0.018876668
100,1.6047865,31621.139,0.11743746,-0.010834876,,100,1.6050571,31621.139,0.12002842,-0.008240647
100,1.6047813,25116.91,0.12056759,-0.000979579,,100,1.6051124,25116.91,0.12217385,0.000618495
100,1.6047767,19948.785,0.12300065,0.007130554,,100,1.6051469,19948.785,0.12484568,0.007845121
100,1.6047744,15847.683,0.12581523,0.013798361,,100,1.6051835,15847.683,0.12690425,0.016660692
100,1.6047795,12590.93,0.12808527,0.02181693,,100,1.6052177,12590.93,0.13056768,0.023734877
100,1.6047721,10002.226,0.13260444,0.028467074,,100,1.6052525,10002.226,0.13438883,0.028720794
100,1.6047674,7943.999,0.13684636,0.035972748,,100,1.6052798,7943.999,0.13887474,0.036889341
100,1.6047578,6307.7339,0.14216639,0.04254403,,100,1.6053002,6307.7339,0.14326593,0.0444635
100,1.6047539,5011.604,0.14486414,0.053253423,,100,1.6053189,5011.604,0.14812203,0.052850727
100,1.6047533,3981.2744,0.1531145,0.060575128,,100,1.605341,3981.2744,0.1552106,0.061876334
100,1.604755,3161.0117,0.15723543,0.068842694,,100,1.6053667,3161.0117,0.15995863,0.070029743
100,1.6047359,2510.8032,0.16275109,0.079830028,,100,1.6053917,2510.8032,0.1654278,0.083452724
100,1.6047471,1995.6388,0.16662188,0.093934029,,100,1.6054103,1995.6388,0.16970807,0.096511543
