SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
70,1.3891034,100003.71,0.12157016,-0.096670747
70,1.3891069,79433.273,0.11687878,-0.076315127
70,1.3891097,63093.824,0.11661892,-0.058280807
70,1.3891004,50122.477,0.11533181,-0.045731325
70,1.3891128,39814.059,0.11561307,-0.033966314
70,1.3891076,31621.139,0.11720068,-0.023437403
70,1.3891078,25116.91,0.11957126,-0.018883789
70,1.3891078,19948.785,0.11725155,-0.013895259
70,1.3891035,15847.683,0.11916773,-0.0087475209
70,1.3891089,12590.93,0.12057089,-0.0060291709
70,1.3891044,10002.226,0.11931104,-0.00069316762
70,1.3891171,7943.999,0.12235168,0.001895297
70,1.3891003,6307.7339,0.12271012,0.0044024992
70,1.3891029,5011.604,0.12483221,0.0069751344
70,1.3891101,3981.2744,0.12663744,0.0073430906
70,1.3890984,3161.0117,0.12964922,0.0091257133
70,1.3891041,2510.8032,0.12871495,0.011201823
70,1.389105,1995.6388,0.13085401,0.010860024
70,1.3891085,1585.5074,0.13342632,0.012321899
70,1.3890996,1258.7913,0.13331684,0.013976712
70,1.3891029,1000.3202,0.13850711,0.013196456
70,1.3891108,794.23785,0.14018172,0.014830584
70,1.3891004,631.00964,0.14250669,0.018090799
70,1.3890959,501.44418,0.14519003,0.017186992
70,1.3891014,398.08914,0.14828189,0.02043278
70,1.3891059,316.31589,0.14946668,0.021123517
70,1.3891101,251.04433,0.15227842,0.023408372
70,1.3891078,199.55299,0.15575682,0.024085887
70,1.3891145,158.42841,0.16025881,0.02612553
70,1.3891118,125.84567,0.16313088,0.028221842
70,1.3891127,100.03201,0.16550463,0.031343579
70,1.3891089,79.415512,0.16903931,0.033442583
70,1.3891068,63.082298,0.17498496,0.036317177
70,1.3891233,50.144421,0.1796581,0.040777642
70,1.3891138,39.808914,0.18214646,0.044700265
70,1.3891144,31.629555,0.18640155,0.048723426
70,1.3891127,25.104433,0.1921487,0.055130742
70,1.3891147,19.955299,0.20020345,0.061455701
70,1.3891127,15.857577,0.20480435,0.067369975
70,1.3891126,12.600809,0.21397278,0.077354155
70,1.3891224,10.003201,0.223088,0.088346377
70,1.3891132,7.9395323,0.23513667,0.10059586
70,1.389118,6.3105812,0.24896592,0.11397335
70,1.3891242,5.0080128,0.26514375,0.12904754
70,1.3891159,3.9778516,0.28492859,0.14329778
70,1.3891116,3.1629555,0.30880168,0.15724136
70,1.3891064,2.5136747,0.33583006,0.16979913
70,1.3891073,1.99553,0.36489186,0.18037163
70,1.3891255,1.5853286,0.39586076,0.18594658
70,1.3891143,1.2596742,0.42733911,0.18839084
70,1.3891294,1.0000639,0.45633543,0.18733422
70,1.3891238,0.79363066,0.48524058,0.18536462
70,1.3891224,0.63090527,0.50956219,0.18141672
70,1.3891425,0.50154078,0.53094131,0.17581426
70,1.3891568,0.39774463,0.55076736,0.17115155
70,1.3891561,0.3161931,0.56963009,0.169213
70,1.3891606,0.25122195,0.58624607,0.16727798
70,1.3891742,0.19933917,0.60172522,0.1664433
70,1.3892016,0.15860692,0.61548376,0.16614987
70,1.3892356,0.12593903,0.62886959,0.16743386
70,1.3892684,0.10007046,0.64307231,0.17027459
70,1.389416,100003.71,0.12035913,-0.096403696
70,1.3893682,79433.273,0.11822345,-0.076471411
70,1.389361,63093.824,0.11578681,-0.05874934
70,1.3893633,50122.477,0.11473572,-0.045312118
70,1.3893636,39814.059,0.11694808,-0.035218984
70,1.3893565,31621.139,0.11918277,-0.022699744
70,1.3893541,25116.91,0.11649393,-0.018709669
70,1.3893522,19948.785,0.11901397,-0.01270717
70,1.3893567,15847.683,0.11869818,-0.0086908285
70,1.389347,12590.93,0.11976591,-0.003925174
70,1.3893486,10002.226,0.12077236,-0.00089952414
70,1.3893502,7943.999,0.1224663,0.0004821968
70,1.3893461,6307.7339,0.12401723,0.002937132
70,1.3893366,5011.604,0.1238023,0.0061188717
70,1.3893403,3981.2744,0.12755857,0.0076575004
70,1.3893394,3161.0117,0.12783779,0.0093450518
70,1.3893391,2510.8032,0.12878919,0.0099737719
70,1.3893366,1995.6388,0.13195364,0.012552777
70,1.3893335,1585.5074,0.13381363,0.01231676
70,1.3893348,1258.7913,0.13556406,0.013030002
70,1.3893352,1000.3202,0.13650444,0.014674366
70,1.3893299,794.23785,0.13921924,0.016325939
70,1.3893265,631.00964,0.14149596,0.015084781
70,1.3893282,501.44418,0.14495251,0.018892016
70,1.3893331,398.08914,0.14798029,0.019726748
