dataset,model,frequency_hz,z_real_ohm,z_imag_ohm,z_fit_real_ohm,z_fit_imag_ohm,res_real_ohm,res_imag_ohm,point_index,original_row,scan_index,source_file,used_in_fit
exampleData,randles_rc_w,0.0031623,0.0494998977640506,-0.020438698544418925,0.05066158883434907,-0.02027098326410508,-0.0011616910702984679,-0.0001677152803138439,0,0,1,exampleData.csv,1
exampleData,randles_rc_w,0.0039811,0.04776559257398882,-0.0182856893045487,0.04846222893372759,-0.018046753438430624,-0.000696636359738774,-0.0002389358661180757,1,1,1,exampleData.csv,1
exampleData,randles_rc_w,0.0050119,0.046135817571421565,-0.016343158966700824,0.046508844569315054,-0.01608353800903828,-0.0003730269978934886,-0.0002596209576625451,2,2,1,exampleData.csv,1
exampleData,randles_rc_w,0.0063096,0.044596836301773274,-0.014589168660649915,0.04476289431719748,-0.014341049868821098,-0.00016605801542420723,-0.00024811879182881635,3,3,1,exampleData.csv,1
exampleData,randles_rc_w,0.0079433,0.0431423038612392,-0.01300096361736358,0.04320361695741437,-0.012788530832344481,-6.131309617517233e-05,-0.00021243278501909858,4,4,1,exampleData.csv,1
exampleData,randles_rc_w,0.01,0.04181678802099761,-0.011573009182824043,0.04181328998747562,-0.011405070197768725,3.498033521988353e-06,-0.00016793898505531799,5,5,1,exampleData.csv,1
exampleData,randles_rc_w,0.012589,0.040606740929859095,-0.010282133623145189,0.04057394799788214,-0.010173361622567214,3.279293197695765e-05,-0.0001087720005779752,6,6,1,exampleData.csv,1
exampleData,randles_rc_w,0.015849,0.03951932383144551,-0.009113366697002839,0.039468609886056896,-0.009077000052242264,5.0713945388615456e-05,-3.6366644760574274e-05,7,7,1,exampleData.csv,1
exampleData,randles_rc_w,0.019953,0.03856629404354767,-0.00804494958277692,0.0384828638080225,-0.008101812217461691,8.34302355251712e-05,5.686263468477129e-05,8,8,1,exampleData.csv,1
exampleData,randles_rc_w,0.025119,0.03773445890891118,-0.007075702921918925,0.037603683844617916,-0.007235071493937305,0.0001307750642932648,0.0001593685720183806,9,9,1,exampleData.csv,1
exampleData,randles_rc_w,0.031623,0.037013908851197805,-0.006209940124316647,0.036819221589973805,-0.006465319418261079,0.0001946872612239997,0.0002553792939444322,10,10,1,exampleData.csv,1
exampleData,randles_rc_w,0.039811,0.03639992299924442,-0.005450664199993216,0.03611912158388298,-0.005782674657462365,0.0002808014153614369,0.00033201045746914914,11,11,1,exampleData.csv,1
exampleData,randles_rc_w,0.050119,0.035883179203561086,-0.004804611324614652,0.0354940746274884,-0.005178413862718907,0.00038910457607268384,0.00037380253810425507,12,12,1,exampleData.csv,1
exampleData,randles_rc_w,0.063096,0.03544780816944048,-0.0042630212172992624,0.03493575418244648,-0.0046449358621942615,0.0005120539869939988,0.00038191464489499907,13,13,1,exampleData.csv,1
exampleData,randles_rc_w,0.079433,0.03506693121253139,-0.003816723014957778,0.034436713191994345,-0.004175694137982033,0.0006302180205370461,0.0003589711230242549,14,14,1,exampleData.csv,1
exampleData,randles_rc_w,0.1,0.034721707243418394,-0.003465230467686932,0.03399026634471058,-0.0037651258678918424,0.0007314408987078164,0.00029989540020491055,15,15,1,exampleData.csv,1
exampleData,randles_rc_w,0.12589,0.03440366308110683,-0.0031936182833490197,0.03359042361423536,-0.003408641443878348,0.0008132394668714724,0.0002150231605293285,16,16,1,exampleData.csv,1
exampleData,randles_rc_w,0.15849,0.03410783765793668,-0.0029843274850640607,0.033231631908154896,-0.003102464516116087,0.0008762057497817832,0.00011813703105202633,17,17,1,exampleData.csv,1
exampleData,randles_rc_w,0.19953,0.033821109172144787,-0.0028420187384119175,0.03290900057698213,-0.0028439185001128777,0.000912108595162657,1.8997617009602029e-06,18,18,1,exampleData.csv,1
exampleData,randles_rc_w,0.25119,0.03353616639243526,-0.0027510821389620833,0.032617921386972656,-0.0026312047451604657,0.0009182450054626007,-0.00011987739380161762,19,19,1,exampleData.csv,1
exampleData,randles_rc_w,0.31623,0.0332524554516705,-0.0027092774650327093,0.03235394472427991,-0.002463473221698127,0.0008985107273905904,-0.00024580424333458216,20,20,1,exampleData.csv,1
exampleData,randles_rc_w,0.39811,0.03295910966053001,-0.0027164025855301414,0.03211277329374749,-0.002341007031545006,0.0008463363667825241,-0.00037539555398513526,21,21,1,exampleData.csv,1
exampleData,randles_rc_w,0.50119,0.03265642728210896,-0.0027688021541761596,0.03188994895452478,-0.0022652379629270847,0.000766478327584183,-0.0005035641912490749,22,22,1,exampleData.csv,1
exampleData,randles_rc_w,0.63096,0.03232796211965539,-0.0028687505233332576,0.03168057767872288,-0.0022388667424063026,0.0006473844409325136,-0.000629883780926955,23,23,1,exampleData.csv,1
exampleData,randles_rc_w,0.79433,0.03197349380289498,-0.002995332546857452,0.03147891149907331,-0.00226595391602007,0.0004945823038216696,-0.000729378630837382,24,24,1,exampleData.csv,1
exampleData,randles_rc_w,1.0,0.03158436174556338,-0.0031633863009665544,0.03127773654895746,-0.0023519439592722046,0.0003066251966059169,-0.0008114423416943498,25,25,1,exampleData.csv,1
exampleData,randles_rc_w,1.2589,0.031069936132208303,-0.0034345232421858604,0.03106752719418953,-0.0025035109604035263,2.4089380187726495e-06,-0.0009310122817823342,26,26,1,exampleData.csv,1
exampleData,randles_rc_w,1.5849,0.03046141985417733,-0.003652697342055591,0.030835164874543262,-0.002728146269322798,-0.0003737450203659329,-0.0009245510727327933,27,27,1,exampleData.csv,1
exampleData,randles_rc_w,1.9953,0.029900714166654168,-0.00389594513544332,0.03056261112941399,-0.003032822270099936,-0.0006618969627598219,-0.0008631228653433838,28,28,1,exampleData.csv,1
exampleData,randles_rc_w,2.5119,0.029379111339927506,-0.0041496368125138496,0.03022514602233805,-0.0034216946175918647,-0.0008460346824105437,-0.0007279421949219849,29,29,1,exampleData.csv,1
exampleData,randles_rc_w,3.1623,0.028614488514401064,-0.0043563647278047945,0.02979019662279016,-0.003891985164654335,-0.0011757081083890973,-0.00046437956315045943,30,30,1,exampleData.csv,1
